"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-08T09:57:56.114+01:00[Europe/London]","0.0","7.92"
"Users CRUD test","This will login a user","SUCCESS","2022-06-08T09:58:04.801+01:00[Europe/London]","0.0","0.28"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-08T09:58:05.081+01:00[Europe/London]","0.0","0.56"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-08T09:58:05.647+01:00[Europe/London]","0.0","0.27"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-08T09:58:05.915+01:00[Europe/London]","0.0","0.22"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-08T09:58:06.134+01:00[Europe/London]","0.0","0.22"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-08T09:58:06.353+01:00[Europe/London]","0.0","0.2"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-08T09:58:06.550+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-08T09:58:06.743+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-08T09:58:06.931+01:00[Europe/London]","0.0","0.15"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-08T09:58:07.087+01:00[Europe/London]","0.0","0.25"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-08T09:58:07.335+01:00[Europe/London]","0.0","0.2"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-08T09:58:07.541+01:00[Europe/London]","0.0","0.2"
